index,id_client,id_vehicule,id_contrat,bonus,type_contrat,duree_contrat,anciennete_info,freq_paiement,paiement,utilisation,code_postal,conducteur2,age_conducteur1,age_conducteur2,sex_conducteur1,sex_conducteur2,anciennete_permis1,anciennete_permis2,anciennete_vehicule,cylindre_vehicule,din_vehicule,essence_vehicule,marque_vehicule,modele_vehicule,debut_vente_vehicule,fin_vente_vehicule,vitesse_vehicule,type_vehicule,prix_vehicule,poids_vehicule,nombre_sinistres,montant_sinistre
0,A00000001,V01,A00000001-V01,0.5,Maxi,29,9,Biannual,No,Retired,36233,No,85,0,M,,62,0,10.0,1587,98,Gasoline,PEUGEOT,306,10,9,182,Tourism,20700,1210,0,0.0
1,A00000002,V01,A00000002-V01,0.5,Maxi,3,1,Biannual,No,Retired,92073,No,69,0,M,,39,0,4.0,2149,170,Diesel,MERCEDES BENZ,C220,4,2,229,Tourism,34250,1510,0,0.0
2,A00000003,V01,A00000003-V01,0.5,Maxi,2,2,Yearly,No,WorkPrivate,92026,No,37,0,M,,18,0,11.0,1991,150,Gasoline,BMW,Z3,12,11,210,Tourism,28661,1270,0,0.0
3,A00000004,V01,A00000004-V01,0.5,Median2,22,1,Yearly,No,WorkPrivate,78537,Yes,81,21,M,F,54,3,16.0,1781,90,Gasoline,VOLKSWAGEN,GOLF,18,15,180,Tourism,14407,1020,0,0.0
4,A00000005,V01,A00000005-V01,0.5,Maxi,16,4,Biannual,No,Retired,38544,Yes,62,68,F,M,37,48,11.0,1598,108,Gasoline,RENAULT,LAGUNA,13,11,195,Tourism,16770,1230,0,0.0
5,A00000006,V01,A00000006-V01,0.5,Median1,5,1,Monthly,No,WorkPrivate,76259,No,68,0,M,,40,0,14.0,1769,60,Diesel,PEUGEOT,205,28,18,155,Tourism,11564,850,0,0.0
6,A00000007,V01,A00000007-V01,0.5,Maxi,5,3,Biannual,No,Retired,38547,No,77,0,M,,55,0,7.0,1870,108,Diesel,RENAULT,LAGUNA,10,6,193,Tourism,22450,1350,0,0.0
7,A00000008,V01,A00000008-V01,0.5,Maxi,2,2,Biannual,No,Retired,37122,No,64,0,M,,37,0,11.0,1595,101,Gasoline,AUDI,A4,16,13,191,Tourism,20535,1195,0,0.0
8,A00000009,V01,A00000009-V01,0.64,Median2,5,1,Monthly,No,WorkPrivate,83050,No,38,0,M,,19,0,9.0,1997,109,Diesel,PEUGEOT,307,9,7,183,Tourism,23460,1260,1,927.16
9,A00000010,V01,A00000010-V01,0.5,Maxi,26,6,Biannual,No,WorkPrivate,74123,Yes,59,33,M,F,41,15,6.0,1997,90,Diesel,PEUGEOT,PARTNER,9,7,163,Tourism,18550,1110,0,0.0
10,A00000011,V01,A00000011-V01,0.5,Maxi,8,1,Yearly,No,Retired,31557,Yes,66,32,M,M,45,14,4.0,1560,90,Diesel,PEUGEOT,308,4,3,180,Tourism,20300,1311,0,0.0
11,A00000012,V01,A00000012-V01,0.5,Maxi,4,4,Yearly,No,Retired,28386,No,61,0,M,,43,0,5.0,1798,127,Gasoline,MAZDA,MX5,6,3,196,Tourism,22450,1080,0,0.0
12,A00000013,V01,A00000013-V01,0.5,Maxi,21,1,Biannual,Yes,Retired,63063,No,65,0,F,,43,0,5.0,999,62,Gasoline,KIA,PICANTO,7,4,150,Tourism,7990,910,0,0.0
13,A00000014,V01,A00000014-V01,0.5,Maxi,25,8,Monthly,No,Retired,62688,No,72,0,M,,46,0,13.0,1905,68,Diesel,CITROEN,XSARA,14,13,162,Tourism,14773,1106,0,0.0
14,A00000015,V01,A00000015-V01,0.5,Maxi,9,1,Biannual,No,WorkPrivate,44003,Yes,38,34,M,F,19,14,1.0,1560,109,Diesel,CITROEN,C4 PICASSO,3,1,180,Tourism,27100,1530,0,0.0
15,A00000016,V01,A00000016-V01,0.5,Maxi,6,2,Monthly,No,WorkPrivate,86183,Yes,54,56,M,F,32,37,2.0,1248,75,Diesel,OPEL,CORSA,5,4,163,Tourism,14900,1141,0,0.0
16,A00000017,V01,A00000017-V01,0.5,Maxi,6,3,Quarterly,No,WorkPrivate,56121,No,41,0,F,,22,0,8.0,1870,81,Diesel,RENAULT,MEGANE,10,8,170,Tourism,16300,1140,0,0.0
17,A00000018,V01,A00000018-V01,0.5,Median2,8,3,Monthly,No,WorkPrivate,42284,No,38,0,M,,20,0,29.0,1124,51,Gasoline,PEUGEOT,104,31,23,138,Tourism,6933,740,0,0.0
18,A00000019,V01,A00000019-V01,0.5,Maxi,19,4,Biannual,No,Retired,01418,No,83,0,M,,58,0,5.0,1398,68,Diesel,CITROEN,C3,9,1,158,Tourism,18150,1058,0,0.0
19,A00000020,V01,A00000020-V01,0.5,Median2,23,15,Monthly,No,WorkPrivate,60103,No,56,0,F,,32,0,22.0,1905,71,Diesel,PEUGEOT,405,23,19,165,Tourism,15535,1080,0,0.0
20,A00000021,V01,A00000021-V01,0.5,Median2,1,1,Yearly,No,WorkPrivate,88209,Yes,44,44,F,M,20,26,8.0,1997,136,Gasoline,PEUGEOT,307,8,6,207,Tourism,25350,1460,0,0.0
21,A00000022,V01,A00000022-V01,0.68,Median2,11,2,Biannual,No,WorkPrivate,01140,Yes,40,41,M,F,20,23,16.0,1794,96,Gasoline,RENAULT,R19,19,17,181,Tourism,15931,940,0,0.0
22,A00000023,V01,A00000023-V01,0.5,Maxi,12,4,Biannual,No,Retired,64102,No,74,0,M,,45,0,7.0,1896,116,Diesel,FORD,GALAXY,11,5,181,Tourism,32900,1760,0,0.0
23,A00000024,V01,A00000024-V01,0.5,Maxi,11,2,Biannual,No,Professional,91345,Yes,59,36,F,F,39,18,11.0,1689,90,Diesel,MERCEDES BENZ,A170,13,10,172,Tourism,21724,1065,0,0.0
24,A00000025,V01,A00000025-V01,0.65,Maxi,16,1,Yearly,No,Retired,38318,No,71,0,F,,41,0,2.0,1560,90,Diesel,CITROEN,C3 PICASSO,2,1,173,Tourism,19350,1289,0,0.0
25,A00000026,V01,A00000026-V01,0.57,Median2,1,1,Monthly,No,WorkPrivate,63180,No,33,0,M,,13,0,10.0,2497,164,Diesel,BMW,525,11,10,219,Tourism,41162,1575,0,0.0
26,A00000027,V01,A00000027-V01,0.5,Median2,11,3,Yearly,No,WorkPrivate,83069,Yes,60,55,M,F,40,35,10.0,1995,116,Diesel,TOYOTA,AVENSIS,10,10,180,Tourism,25901,1645,0,0.0
27,A00000028,V01,A00000028-V01,0.6,Mini,1,1,Monthly,No,WorkPrivate,17300,No,31,0,F,,12,0,16.0,1896,90,Diesel,AUDI,A4,16,13,183,Tourism,23066,1240,0,0.0
28,A00000029,V01,A00000029-V01,0.5,Mini,4,1,Biannual,No,Professional,08328,No,40,0,M,,22,0,16.0,2446,86,Diesel,CITROEN,JUMPER,17,9,132,Commercial,24615,0,0,0.0
29,A00000030,V01,A00000030-V01,0.5,Maxi,7,1,Biannual,No,WorkPrivate,78003,Yes,50,23,F,M,30,4,6.0,1399,68,Diesel,FORD,FUSION,9,1,158,Tourism,14640,1102,0,0.0
30,A00000031,V01,A00000031-V01,0.5,Maxi,2,2,Monthly,No,WorkPrivate,78372,Yes,46,41,M,F,26,14,2.0,1598,120,Gasoline,PEUGEOT,207,4,2,200,Tourism,19550,1352,0,0.0
31,A00000032,V01,A00000032-V01,0.5,Maxi,4,2,Biannual,No,WorkPrivate,83138,No,42,0,F,,24,0,2.0,1461,86,Diesel,RENAULT,MEGANE,3,1,175,Tourism,19900,1215,0,0.0
32,A00000033,V01,A00000033-V01,0.5,Maxi,24,2,Yearly,No,Retired,10297,No,72,0,M,,47,0,3.0,1461,86,Diesel,RENAULT,CLIO,6,4,174,Tourism,17450,1175,0,0.0
33,A00000034,V01,A00000034-V01,0.54,Mini,1,1,Monthly,No,WorkPrivate,57751,No,33,0,M,,13,0,13.0,2494,170,Gasoline,BMW,323 I,13,11,231,Tourism,31253,1445,0,0.0
34,A00000035,V01,A00000035-V01,0.5,Maxi,4,3,Monthly,No,WorkPrivate,50602,Yes,41,31,M,F,19,6,4.0,1461,68,Diesel,DACIA,LOGAN,5,3,150,Tourism,12240,1245,0,0.0
35,A00000036,V01,A00000036-V01,0.5,Median2,19,1,Biannual,Yes,Retired,62043,No,79,0,F,,47,0,14.0,1905,68,Diesel,CITROEN,XSARA,14,13,162,Tourism,14773,1106,0,0.0
36,A00000037,V01,A00000037-V01,0.5,Median1,20,3,Yearly,No,Retired,59286,No,59,0,M,,41,0,9.0,1870,82,Diesel,RENAULT,MASTER,10,8,131,Commercial,21050,0,0,0.0
37,A00000038,V01,A00000038-V01,0.5,Maxi,27,2,Monthly,No,Retired,69264,No,76,0,F,,45,0,11.0,1242,60,Gasoline,FIAT,PUNTO,12,9,155,Tourism,9940,875,0,0.0
38,A00000039,V01,A00000039-V01,0.5,Maxi,3,3,Yearly,No,WorkPrivate,25056,Yes,49,51,F,M,31,33,10.0,1870,98,Diesel,RENAULT,ESPACE,12,11,167,Tourism,27441,1555,0,0.0
39,A00000040,V01,A00000040-V01,0.64,Maxi,2,2,Yearly,No,WorkPrivate,78455,No,32,0,F,,11,0,7.0,1398,68,Diesel,CITROEN,C3,9,1,158,Tourism,18150,1058,0,0.0
40,A00000041,V01,A00000041-V01,0.64,Maxi,8,3,Quarterly,No,WorkPrivate,71176,No,27,0,F,,8,0,3.0,1086,66,Gasoline,KIA,PICANTO,7,4,154,Tourism,10050,910,0,0.0
41,A00000042,V01,A00000042-V01,0.5,Mini,4,3,Yearly,No,Retired,38543,No,75,0,M,,57,0,10.0,2496,180,Diesel,AUDI,A6,11,7,219,Tourism,44380,1680,0,0.0
42,A00000042,V02,A00000042-V02,0.5,Mini,4,3,Yearly,No,Retired,38543,No,75,0,M,,57,0,25.0,2445,73,Diesel,RENAULT,B70,25,21,112,Commercial,21552,0,0,0.0
43,A00000042,V03,A00000042-V03,0.5,Mini,4,3,Yearly,No,Retired,38543,No,75,0,M,,57,0,24.0,1324,67,Gasoline,SUZUKI,SJ 413,26,22,135,Commercial,12591,1330,0,0.0
44,A00000043,V01,A00000043-V01,0.5,Maxi,5,1,Monthly,No,WorkPrivate,79195,No,36,0,F,,17,0,3.0,1560,109,Diesel,CITROEN,C4 PICASSO,4,3,180,Tourism,27000,1499,0,0.0
45,A00000043,V02,A00000043-V02,0.5,Median2,5,1,Monthly,No,WorkPrivate,79195,Yes,37,36,M,F,18,17,15.0,1905,70,Diesel,PEUGEOT,EXPERT,16,14,138,Commercial,17356,0,0,0.0
46,A00000044,V01,A00000044-V01,0.5,Maxi,17,1,Yearly,Yes,Retired,80368,No,63,0,M,,42,0,16.0,954,51,Gasoline,CITROEN,AX,19,18,149,Tourism,8004,1140,0,0.0
47,A00000045,V01,A00000045-V01,0.5,Mini,1,1,Biannual,No,WorkPrivate,93066,No,53,0,M,,31,0,14.0,954,51,Gasoline,CITROEN,SAXO,15,13,149,Commercial,8513,805,0,0.0
48,A00000046,V01,A00000046-V01,0.5,Median2,2,2,Yearly,No,WorkPrivate,59160,No,47,0,M,,29,0,12.0,1868,70,Diesel,CITROEN,JUMPY,13,8,138,Commercial,17342,0,0,0.0
49,A00000047,V01,A00000047-V01,0.72,Median2,10,7,Monthly,No,WorkPrivate,37233,No,65,0,M,,10,0,15.0,2068,94,Diesel,RENAULT,ESPACE,16,14,167,Tourism,30460,1380,0,0.0
50,A00000048,V01,A00000048-V01,0.5,Mini,1,1,Quarterly,No,WorkPrivate,56007,No,41,0,F,,23,0,19.0,1391,60,Gasoline,VOLKSWAGEN,GOLF,20,18,156,Tourism,11552,960,0,0.0
